VILLE;Code_postal;SUPERFICIE;POPULATION
CHOOZ;35150;4156.0;8250
CHOOZ;63340;776.0;381
CHOOZ;52310;453.0;133
CHOOZ;55400;633.0;74
CHOOZ;86400;1072.0;483
CHOOZ;64460;395.0;198
CHOOZ;54380;737.0;188
CHOOZ;7300;748.0;694
CHOOZ;21350;414.0;30
CHOOZ;71240;776.0;317
CHOOZ;3460;4072.0;1678
CHOOZ;2160;298.0;71
CHOOZ;8190;1132.0;150
CHOOZ;52330;7404.0;663
CHOOZ;52220;1648.0;228
CHOOZ;10500;624.0;106
CHOOZ;10200;755.0;73
CHOOZ;10200;2017.0;338
CHOOZ;52220;1031.0;166
CHOOZ;51320;4751.0;195
CHOOZ;51300;2922.0;519
CHOOZ;51300;973.0;1839
CHOOZ;51800;641.0;51
CHOOZ;51240;872.0;422
CHOOZ;51800;981.0;60
CHOOZ;51300;1030.0;127
CHOOZ;8310;870.0;69
CHOOZ;8310;1459.0;310
CHOOZ;10240;584.0;96
CHOOZ;10500;1571.0;180
CHOOZ;10330;1636.0;181
CHOOZ;8400;1108.0;60
CHOOZ;8310;2963.0;242
CHOOZ;8400;951.0;332
CHOOZ;2860;369.0;128
CHOOZ;2380;615.0;154
CHOOZ;2300;922.0;446
CHOOZ;2860;481.0;381
CHOOZ;2870;901.0;757
CHOOZ;2140;481.0;116
CHOOZ;2140;1399.0;134
CHOOZ;2360;320.0;55
CHOOZ;8190;1586.0;802
CHOOZ;2350;1302.0;214
CHOOZ;8430;531.0;200
CHOOZ;8430;456.0;130
CHOOZ;8090;445.0;217
CHOOZ;8270;601.0;228
CHOOZ;8270;736.0;87
CHOOZ;8430;726.0;82
CHOOZ;8090;1011.0;335
CHOOZ;77440;817.0;290
CHOOZ;77510;2000.0;1004
CHOOZ;51210;1088.0;185
CHOOZ;2210;538.0;72
CHOOZ;2210;728.0;124
CHOOZ;2290;1723.0;1137
CHOOZ;2290;525.0;304
CHOOZ;2600;1112.0;208
CHOOZ;2160;859.0;491
CHOOZ;2370;923.0;80
CHOOZ;2130;902.0;198
CHOOZ;51700;1315.0;332
EPOTHEMONT;51380;1334.0;1047
EPOTHEMONT;51130;507.0;313
EPOTHEMONT;51150;1230.0;735
EPOTHEMONT;51510;402.0;498
EPOTHEMONT;51170;442.0;87
EPOTHEMONT;51220;667.0;622
EPOTHEMONT;51390;489.0;223
EPOTHEMONT;5190;616.0;440
EPOTHEMONT;88410;1013.0;119
EPOTHEMONT;38260;1119.0;1050
EPOTHEMONT;36300;4310.0;619
EPOTHEMONT;6370;1263.0;10214
EPOTHEMONT;74520;711.0;726
EPOTHEMONT;24430;1482.0;2414
EPOTHEMONT;39270;582.0;154
EPOTHEMONT;1300;697.0;338
EPOTHEMONT;49400;1491.0;1697
EPOTHEMONT;22640;3339.0;1539
EPOTHEMONT;29500;3962.0;8140
EPOTHEMONT;52800;1077.0;154
EPOTHEMONT;1270;1404.0;675
EPOTHEMONT;63190;1563.0;606
EPOTHEMONT;38690;880.0;659
EPOTHEMONT;49490;747.0;99
EPOTHEMONT;69330;1205.0;5807
EPOTHEMONT;7250;1110.0;2785
EPOTHEMONT;85320;1840.0;705
EPOTHEMONT;22540;5844.0;2319
EPOTHEMONT;80360;526.0;73
EPOTHEMONT;25520;1313.0;332
EPOTHEMONT;65100;140.0;23
EPOTHEMONT;54450;796.0;100
EPOTHEMONT;31190;454.0;481
EPOTHEMONT;54200;1102.0;570
EPOTHEMONT;64370;946.0;225
EPOTHEMONT;29670;2956.0;2966
EPOTHEMONT;29870;1108.0;3606
EPOTHEMONT;1200;1371.0;333
EPOTHEMONT;76810;262.0;722
EPOTHEMONT;62145;307.0;296
EPOTHEMONT;35270;2382.0;783
