NOM_POLLUANT;QUANTITE;COORDONNEE;IDENTIFIANT;COORDONNEE;NOM_DEPARTEMENT
Ammoniac (NH3);113800;48.4911018678, -2.60093548091;22044010;48.4911018678, -2.60093548091;SOMME
Ammoniac (NH3);97800;48.4631281548, -2.95240095257;22045066;48.4631281548, -2.95240095257;SOMME
Ammoniac (NH3);90000;48.240846519, -3.12384718726;22052018;48.240846519, -3.12384718726;SOMME
Ammoniac (NH3);121800;48.4202509181, -2.65749434582;22056200;48.4202509181, -2.65749434582;NORD
Ammoniac (NH3);11900;48.2230348395, -3.39546023136;22061059;48.2230348395, -3.39546023136;NORD
Ammoniac (NH3);70200;48.6043651879, -3.02018571116;22065127;48.6043651879, -3.02018571116;CALVADOS
Ammoniac (NH3);73600;48.4021229832, -2.57459007377;22065795;48.4021229832, -2.57459007377;MANCHE
Ammoniac (NH3);77900;48.7780831384, -3.04377217801;22069531;48.7780831384, -3.04377217801;SEINE-MARITIME
Ammoniac (NH3);97000;48.364832209, -2.4016717137;22070539;48.364832209, -2.4016717137;MANCHE
Ammoniac (NH3);440000;48.3357874743, -2.96159798694;22073094;48.3357874743, -2.96159798694;CALVADOS
Ammoniac (NH3);11600;48.3357874743, -2.96159798694;22073106;48.3357874743, -2.96159798694;CALVADOS
Ammoniac (NH3);140100;48.3186793609, -3.06377017313;22074137;48.3186793609, -3.06377017313;MANCHE
Ammoniac (NH3);49600;48.3186793609, -3.06377017313;22074157;48.3186793609, -3.06377017313;CALVADOS
Ammoniac (NH3);13500;48.5606651502, -2.37515540403;22076003;48.5606651502, -2.37515540403;ORNE
Ammoniac (NH3);162200;48.5606651502, -2.37515540403;22076024;48.5606651502, -2.37515540403;MANCHE
Ammoniac (NH3);71900;48.5606651502, -2.37515540403;22076140;48.5606651502, -2.37515540403;MANCHE
Ammoniac (NH3);218000;48.5606651502, -2.37515540403;22076146;48.5606651502, -2.37515540403;CALVADOS
Ammoniac (NH3);247600;48.5606651502, -2.37515540403;22076171;48.5606651502, -2.37515540403;MAYOTTE
Ammoniac (NH3);120500;;22076185;;REUNION
Ammoniac (NH3);212500;48.5606651502, -2.37515540403;22076202;48.5606651502, -2.37515540403;REUNION
Ammoniac (NH3);129000;48.5410370343, -2.43365235653;22077007;48.5410370343, -2.43365235653;VOSGES
Ammoniac (NH3);146400;48.4087636342, -2.32222953134;22084047;48.4087636342, -2.32222953134;MEURTHE-ET-MOSELLE
Ammoniac (NH3);395200;48.3092689122, -3.31829786109;22087239;48.3092689122, -3.31829786109;MEUSE
Ammoniac (NH3);90300;48.3092689122, -3.31829786109;22087263;48.3092689122, -3.31829786109;MOSELLE
Ammoniac (NH3);65200;48.3092689122, -3.31829786109;22087265;48.3092689122, -3.31829786109;ARDENNES
Ammoniac (NH3);65600;48.47092316, -2.51100575975;22093132;48.47092316, -2.51100575975;ARDENNES
Ammoniac (NH3);24600;48.47092316, -2.51100575975;22093145;48.47092316, -2.51100575975;ARDENNES
Ammoniac (NH3);92300;48.4296552417, -2.5406338422;22098010;48.4296552417, -2.5406338422;MEUSE
Ammoniac (NH3);31200;48.4296552417, -2.5406338422;22098043;48.4296552417, -2.5406338422;MEURTHE-ET-MOSELLE
Ammoniac (NH3);120700;48.7499322232, -3.28184685611;22101145;48.7499322232, -3.28184685611;MEUSE
Ammoniac (NH3);50000;48.1602182027, -3.2445572377;22104096;48.1602182027, -3.2445572377;ARDENNES
Ammoniac (NH3);16400;48.658917149, -3.01188077715;22112039;48.658917149, -3.01188077715;MOSELLE
Ammoniac (NH3);105400;48.517347817, -3.03158832618;22116122;48.517347817, -3.03158832618;BAS-RHIN
Ammoniac (NH3);27000;48.517347817, -3.03158832618;22116187;48.517347817, -3.03158832618;MEUSE
Ammoniac (NH3);39900;48.4560150345, -2.02860847197;22118067;48.4560150345, -2.02860847197;BAS-RHIN
Ammoniac (NH3);59300;48.4087636342, -2.32222953134;22125013;48.4087636342, -2.32222953134;BAS-RHIN
Ammoniac (NH3);87000;48.4597250035, -3.52299092258;22132124;48.4597250035, -3.52299092258;ARDENNES
Ammoniac (NH3);126000;48.1760258754, -2.75400390991;22132228;48.1760258754, -2.75400390991;HAUT-RHIN
Ammoniac (NH3);343200;48.5660143935, -3.33872329624;22135005;48.5660143935, -3.33872329624;VOSGES
Ammoniac (NH3);56000;48.1760258754, -2.75400390991;22136149;48.1760258754, -2.75400390991;MOSELLE
Ammoniac (NH3);254500;48.1760258754, -2.75400390991;22136392;48.1760258754, -2.75400390991;MEUSE
Ammoniac (NH3);14500;48.1760258754, -2.75400390991;22136394;48.1760258754, -2.75400390991;HAUTE-MARNE
Ammoniac (NH3);111200;48.2837394188, -3.42394729115;22137239;48.2837394188, -3.42394729115;MEURTHE-ET-MOSELLE
Ammoniac (NH3);120900;48.47092316, -2.51100575975;22142007;48.47092316, -2.51100575975;VOSGES
Ammoniac (NH3);90200;48.47092316, -2.51100575975;22142158;48.47092316, -2.51100575975;MEUSE
Ammoniac (NH3);168600;;22144025;;MEURTHE-ET-MOSELLE
Ammoniac (NH3);23000;48.2772548438, -2.90032753958;22149098;48.2772548438, -2.90032753958;HAUTE-MARNE
Ammoniac (NH3);95500;48.7749654844, -3.22866305247;22152077;48.7749654844, -3.22866305247;HAUTE-MARNE
Ammoniac (NH3);20000;48.2356243296, -3.4442996916;22163171;48.2356243296, -3.4442996916;BAS-RHIN
Ammoniac (NH3);111800;48.3723460044, -2.49674345779;22165001;48.3723460044, -2.49674345779;MEUSE
Ammoniac (NH3);26400;48.3723460044, -2.49674345779;22165064;48.3723460044, -2.49674345779;HAUTE-MARNE
Ammoniac (NH3);96400;48.3723460044, -2.49674345779;22165073;48.3723460044, -2.49674345779;MOSELLE
Ammoniac (NH3);136200;48.8139300014, -3.29493964486;22166005;48.8139300014, -3.29493964486;MEUSE
Ammoniac (NH3);26600;48.2904391392, -3.23101851434;22169073;48.2904391392, -3.23101851434;BAS-RHIN
Ammoniac (NH3);96200;48.4481372691, -2.38816509907;22175071;48.4481372691, -2.38816509907;BAS-RHIN
Ammoniac (NH3);11200;48.6340807659, -2.94032885811;22177128;48.6340807659, -2.94032885811;HAUT-RHIN
Ammoniac (NH3);143100;48.4340364504, -2.21842314703;22180118;48.4340364504, -2.21842314703;VOSGES
Ammoniac (NH3);41700;48.5566205814, -2.94589131853;22182018;48.5566205814, -2.94589131853;BAS-RHIN
Ammoniac (NH3);146000;48.5566205814, -2.94589131853;22182030;48.5566205814, -2.94589131853;MEUSE
Ammoniac (NH3);43400;48.5566205814, -2.94589131853;22182329;48.5566205814, -2.94589131853;MEURTHE-ET-MOSELLE
Ammoniac (NH3);51200;48.1773554945, -2.59372843675;22183286;48.1773554945, -2.59372843675;BAS-RHIN
Ammoniac (NH3);98300;48.4481620909, -3.12033666786;22189125;48.4481620909, -3.12033666786;MEURTHE-ET-MOSELLE
Ammoniac (NH3);92700;48.4481620909, -3.12033666786;22189131;48.4481620909, -3.12033666786;BAS-RHIN
Ammoniac (NH3);98700;48.4481620909, -3.12033666786;22189181;48.4481620909, -3.12033666786;VOSGES
Ammoniac (NH3);77300;48.2763042283, -2.62049048797;22191356;48.2763042283, -2.62049048797;HAUTE-MARNE
Ammoniac (NH3);11700;48.4242086782, -2.44910193708;22193002;48.4242086782, -2.44910193708;MOSELLE
Ammoniac (NH3);14600;48.4242086782, -2.44910193708;22193262;48.4242086782, -2.44910193708;BAS-RHIN
Ammoniac (NH3);43100;48.4898028963, -2.31826083193;22200057;48.4898028963, -2.31826083193;MEUSE
Ammoniac (NH3);27100;48.7147597178, -3.20586910305;22204201;48.7147597178, -3.20586910305;MOSELLE
Ammoniac (NH3);113400;48.6122392923, -3.47356122615;22207265;48.6122392923, -3.47356122615;HAUTE-SAONE
Ammoniac (NH3);145600;48.2998850155, -2.00650010829;22208266;48.2998850155, -2.00650010829;NIEVRE
Ammoniac (NH3);39000;48.2998850155, -2.00650010829;22208268;48.2998850155, -2.00650010829;COTE-D'OR
Ammoniac (NH3);129100;48.7483713375, -2.98583039067;22214001;48.7483713375, -2.98583039067;COTE-D'OR
Ammoniac (NH3);70300;48.2797569645, -2.70182975957;22219233;48.2797569645, -2.70182975957;COTE-D'OR
Ammoniac (NH3);69200;48.2797569645, -2.70182975957;22219269;48.2797569645, -2.70182975957;SAONE-ET-LOIRE
Ammoniac (NH3);34200;48.2395122426, -3.25224543283;22220233;48.2395122426, -3.25224543283;DOUBS
Ammoniac (NH3);154600;48.6754466841, -2.93171483451;22222218;48.6754466841, -2.93171483451;DOUBS
Ammoniac (NH3);96600;48.5460713557, -3.13226126149;22225263;48.5460713557, -3.13226126149;AUBE
Ammoniac (NH3);88900;48.5664921482, -3.54213754895;22227151;48.5664921482, -3.54213754895;MARNE
Ammoniac (NH3);71900;48.5579837164, -3.44932522093;22228394;48.5579837164, -3.44932522093;AUBE
Ammoniac (NH3);54900;48.2904391392, -3.23101851434;22229308;48.2904391392, -3.23101851434;MARNE
Ammoniac (NH3);70100;48.745465834, -3.07002034802;22233134;48.745465834, -3.07002034802;SEINE-ET-MARNE
Ammoniac (NH3);175200;48.5310037021, -2.26790811415;22237125;48.5310037021, -2.26790811415;SEINE-ET-MARNE
Ammoniac (NH3);97800;48.5310037021, -2.26790811415;22237130;48.5310037021, -2.26790811415;YONNE
Ammoniac (NH3);415800;48.1014674191, -2.58214542828;22241024;48.1014674191, -2.58214542828;YONNE
Ammoniac (NH3);170900;48.1014674191, -2.58214542828;22241159;48.1014674191, -2.58214542828;AUBE
Ammoniac (NH3);195400;48.1014674191, -2.58214542828;22241232;48.1014674191, -2.58214542828;SEINE-ET-MARNE
Ammoniac (NH3);134600;48.3853504987, -3.48622708061;22243164;48.3853504987, -3.48622708061;YONNE
Ammoniac (NH3);143400;48.6200854235, -3.0914272918;22248003;48.6200854235, -3.0914272918;AUBE
