NOM_DU_SITE;GROUPE_DE_DECHETS;CATEGORIE;FAMILLE IN;VEC;ACTIVITE ( Bq);COORDONNEE
ORANGE - MOULINS;;AUTRES;S04;-;;48.517347817, -3.03158832618
ANDRA SERVICE SOLUTIONS POUR LES PNE - GANAGOBIE;Déchets d'exploitation entreposés sur le site.;FMA-VC;F3-7-01;0;22000000000;48.517347817, -3.03158832618
ANDRA SERVICE SOLUTIONS POUR LES PNE - GANAGOBIE;Déchets d'exploitation entreposés sur le site.;AUTRES;DSF;1;7,00E+11;48.4560150345, -2.02860847197
ANDRA SERVICE SOLUTIONS POUR LES PNE - GANAGOBIE;Déchets d'exploitation entreposés sur le site.;FMA-VC;DIV3;0,51;40000000000;48.4087636342, -2.32222953134
ANDRA SERVICE SOLUTIONS POUR LES PNE - GANAGOBIE;Déchets d'exploitation entreposés sur le site.;MA-VL;DIV2;0,096;1,60E+11;48.4597250035, -3.52299092258
GALDERMA R&D - SECURITE - ENVIRONNEMENT;;FMA-VC;F3-7-01;0,04032;1,24E+08;48.1760258754, -2.75400390991
GALDERMA R&D - SECURITE - ENVIRONNEMENT;;FMA-VC;F3-7-01;0,00756;120000;48.5660143935, -3.33872329624
IRIS PHARMA - RECHERCHE PHARMACEUTIQUE - RADIOIMMUNOANALYSE;;FMA-VC;F3-7-01;0,001575;1720000000;48.1760258754, -2.75400390991
CENTRE D'IMAGERIE NUCLEAIRE (SELARL CIN) - CLINIQUE PLEIN CIEL - MEDECINE NUCLEAIRE;;VTC;DGD;0,15;-;48.1760258754, -2.75400390991
ORANGE - PARAFOUDRES MOUGINS;;AUTRES;S04;-;;48.1760258754, -2.75400390991
CENTRE HOSPITALIER UNIVERSITAIRE DE NICE - HÔPITAL DE L'ARCHET - INSERM UMR 1065 C3M - BATIMENT ARCHIMED ;;VTC;DGD;0,2;-;48.2837394188, -3.42394729115
CENTRE HOSPITALIER UNIVERSITAIRE DE NICE - HÔPITAL DE L'ARCHET - MEDECINE NUCLEAIRE;;VTC;DGD;0,533;-;48.47092316, -2.51100575975
CENTRE HOSPITALIER UNIVERSITAIRE DE NICE - HÔPITAL PASTEUR - BIOCHIMIE;;VTC;DGD;2,4;-;48.47092316, -2.51100575975
CENTRE REGIONAL DE LUTTE CONTRE LE CANCER - CENTRE ANTOINE LACASSAGNE - UNITE DE MEDECINE NUCLEAIRE;;VTC;DGD;5;-;
CNRS - UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS-FACULTE DES SCIENCES - ASSOCIEE INSERM UMR 7277 - INSTITUT DE BIOLOGIE VALROSE;;VTC;DGD;1;-;48.2772548438, -2.90032753958
UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - FACULTE DE MEDECINE - IRCAN INSERM U1081, CNRS UMR 7284;;VTC;DGD;0,12;-;48.7749654844, -3.22866305247
UNIVERSITE DE NICE SOPHIA-ANTIPOLIS (UNSA) - UMR E4320 TIRO/MAtos, département de biophysique;;VTC;DGD;0,02;-;48.2356243296, -3.4442996916
SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS DES ALPES MARITIMES - CMIR;;FA-VL;DIV9;0,03;0;48.3723460044, -2.49674345779
